Column_Name,DataType,Input,MaxLength,Description,Default,Mapping Type,Mapping Value
Customer Number,VARCHAR,Input,,Customer number of the Account owner,,PASSTHRU,gfpf.gfcpnc
Account Number,VARCHAR,Input,,The account number or ID can be generated when an instance of an account product is created at runtime,,PASSTHRU,scpf.scab||scpf.scan||scpf.scas
Sub Product Id,VARCHAR,Input,60,BFUB sub-product id to which the Account is mapped to. This mapping of legacy product/account-type to BFUB product and sub-product should be done prior to Account migration.,,,
Productid,VARCHAR,Input,16,The product (account type) to which the account belongs. Make sure to map legacy product/account type to BFUB Product and specify the BFUB Productid here.,,PASSTHRU,scpf.scact
Branch,VARCHAR,Input,,BFUB Branch sort code to which the Account belongs,,PASSTHRU,scpf.scab
ISO Currency Code,VARCHAR,Input,,The currency of the account.,,PASSTHRU,scpf.scccy
Pseudonym,VARCHAR,Default,50,"Pseudo Name.  Arbitrary alternative account reference, that in combination with a separate Branch Sort Code can be used to post to an internal account. This means that generic business processes can be written for all branches and departments. This is no longer used.",,,
Account Name,VARCHAR,Input,60,"Account name if one is available; Usually mapped from the Customer Short Name in any account opening business processes. In the reference implementation, having the customer name at this level saves a join to the Customer table for reports.",,PASSTHRU,scpf.scshn
Account Status,VARCHAR,Input,20,Account status,Activated,CONSTANT,Activated
Acc Rights Indicator,DECIMAL,Input,,"Possible values and their meaning are: -1 -> Password required for posting and enquiry, 0 -> No password required, 1 -> Password required for posting, 2 -> Account stopped. No posting or enquiry allowed, 3 -> Account stopped. Password required for posting and enquiry, 4 -> No debits allowed, 5 -> No debits. Password required to override, 6 -> No credits allowed, 7 -> No credits. Password required to override, 8 -> Password required for enquiry",0,CONSTANT,0
Cleared Balance,DECIMAL,Input,,"Account's cleared balance. Every non-zero in-value financial posting message updates the cleared balance, either immediately or after being routed. A forward-valued transaction will NOT update this until the transaction comes into value and is cleared. (Scheduled Posting). ",,PASSTHRU,"(scpf.scbal-(scpf.scsum1+scpf.scsum2))/power(10,c8pf.c8CED)"
Booked Balance,DECIMAL,Input,,"Account's booked balance. Every non-zero financial posting message updates the book balance, either immediately or after being routed. A back, same or forward-valued transaction will update this.",,PASSTHRU,"scpf.scbal/power(10,c8pf.c8CED)"
Blocked Balance,DECIMAL,Input,,Blocked Balance,,PASSTHRU,"scpf.scrba/power(10,c8pf.c8CED)"
Cheque Deposit Balance,DECIMAL,Input,,"Cheque Deposit Balance  The Cheque Deposit Feature maintains the Cheque Deposit Balance on an account.  A cheque deposit balance is used to record the amounts deposited at the counter that have yet to be verified, such as not-on-us cheques. ",,PASSTHRU,"(scpf.scsum1+scpf.scsum2)/power(10,c8pf.c8CED)"
Last Interest Accural Date,DATE,Input,,Last Interest Accrual Date; the date till which the intrest is accrued and stored on the Account. This is the most important date on the account. It is the value date of the most recent in-valued transaction. Whether there is a Debit Interest and/or Credit Interest feature is irrelevant.,,,business_date-1 or s5pf.s5lcdc
Accrued Credit Interest,DECIMAL,Input,,The amount of credit interest currently accrued and yet to be applied/capitalised to the account by an Interest Application.,,PASSTHRU,"case  
  when s5am1c >= 0 then abs(to_number(((s5am4c)/POWER(10,c8pf.C8CED)) + ((s5pf.s5am1c)/POWER(10,c8pf.C8CED))))
  else abs(to_number((s5am4c)/POWER(10,c8pf.C8CED))) end"
Debit Accrued Interest,DECIMAL,Input,,Debit Accrued Interest  The amount of debit interest currently accrued and yet to be applied/capitalised to the account by an Interest Application.,,PASSTHRU,"case
     when s5am1d <= 0 then abs(to_number(((s5am4d)/POWER(10,c8pf.C8CED)) + ((s5pf.s5am1d)/POWER(10,c8pf.C8CED))))
     else abs(to_number((s5am4d)/POWER(10,c8pf.C8CED))) end"
Credit Limit,DECIMAL,Input,,Credit limit (which can be floor or ceiling based on LIMITINDICATOR). Used in conjunction with LIMITEXCESSACTION and LIMITINDICATOR fields.,,,
Debit Limit,DECIMAL,Input,,Debit limit (which is always floor). Used in conjunction with LIMITEXCESSACTION and LIMITINDICATOR fields.,,PASSTHRU,scpf.scodl
Limit Excessaction,INTEGER,Input,,"Limit Excess Action This defines what should happen when either of credit/debit limit is exceeded. Following are the possible values 0 - Do Not Allow Excess,1 - Allow Excess,2 - Allow Excess with Supervisor Authorization.",,CONSTANT,0
Limit Indicator,INTEGER,Input,,"Limit Indicator whcih indicates what kind of limit checking is applicable for the account. It’s values can be: 0 - Both Cr and Dr Limits Not Applicable,1 - Dr Limit Applicable, not Cr Limit,2 - Cr Limit as Floor,Dr Not Effective,3 - Cr Limit as Ceiling, Dr Limit as Floor.",,CONSTANT,0
Limit Review Date,DATE,Input,,Used for reporting limits that should be reviewed. Account Limit Review Expiry.,,PASSTHRU,scpf.scled
Limit Expiry Date,DATE,Input,,Used for reporting expiring limits. Account Limit Review Expiry.,,PASSTHRU,scpf.scled
Is Joint Account,VARCHAR,Input,1,true or false. Indicates whether there is more than one person on this account,N,PASSTHRU,N
Account Open Date,DATE,Input,,Open Date.  The date the account instance was created.,,PASSTHRU,scpf.scoad
Account Opened By User,VARCHAR,Default,30,Opened By User.  Mapped to the global tag Username when the static data create is performed.,superit,CONSTANT,superit
Last Static Amendement Date,TIMESTAMP,Input,,The last time when any static attributes of the account were modified,Context.MigrationDate,PASSTHRU,scpf.scdlm
Account Amended By User,VARCHAR,Default,30,Mapped to the global tag Username when any static data creates and updates are performed.,superit,CONSTANT,superit
Last Transaction Date,DATE,Input,,The business date of the last financial transaction. This may not be the same as the Last Interest Accrual Date,,PASSTHRU,scpf.scdle
Is Account Stopped,VARCHAR,Generate,1,Stopped - Boolean.  True or false. Checked in the process method of this feature when a posting is attempted.,N,,
Account Stopped By User,VARCHAR,Default,30,"Stopped By User.  Mapped to the global tag Username, the bank user who initiated the stop on the account.",,,
Account Stop Date,DATE,Input,,Stop date.  The date the account was stopped from having financial postings made to it.,,,
Account Stop Reason,VARCHAR,Input,30,Stop Reason.  A description of the stop on the account.,,,
Account Stop Code,VARCHAR,Input,10,Stop Code.  An arbitrary code used as a reason why the account was stopped.,,,
Is Account Closed,VARCHAR,Generate,1,true or false. Indicates whether the account is closed or not. Checked in the process method of this feature when a posting is attempted.,N,,
Account Closure Date,DATE,Input,,The date the account was closed,,PASSTHRU,scpf.sccad
Dormancy Feature Id,VARCHAR,Sequence,,Surrogate key to uniquely identify an entry in the table,,,
Dormancy Status,VARCHAR,Input,1,true or false indicating dormancy status of the account,N,PASSTHRU,scpf.SCAI20
Date Of Dormancy,DATE,Input,,The date the account went dormant,,,
Dormant Reactivation Date,DATE,Input,,Date when the the dormant account was changed to active,,,
Last Active Transaction Date,DATE,Input,,last active transaction date before the account went into Dormancy,,PASSTHRU,scpf.scdle
Minimum Opening Balance,DECIMAL,Default,,Minimum Opening Balance.  Not currently used on this feature. Use Customer Limits (credit floors).,,,
Lowest Balance,DECIMAL,Default,,Lowest balance (Not currently used),,,
Lowest Balance Date,DATE,Default,,Lowest balance date (Not currently used),,,
Pass Book Indicator,VARCHAR,Default,1,Paasbook Indicator.  Not currently used.,N,,
Fee Wave Indicator,VARCHAR,Input,1,True or false. Indicates whether the Service Fee Feature or business processes should attempt fees and charges or not.,N,,
Limitref2,VARCHAR,Default,30,Arbitrary limit codes to be checked when the Customer Limits functionality is in operation. There can be 5 limit references for an account LIMITREF1 - 5.,,,
Limitref3,VARCHAR,Default,30,Arbitrary limit codes to be checked when the Customer Limits functionality is in operation. There can be 5 limit references for an account LIMITREF1 - 5.,,,
Limitref4,VARCHAR,Default,30,Arbitrary limit codes to be checked when the Customer Limits functionality is in operation. There can be 5 limit references for an account LIMITREF1 - 5.,,,
Limitref5,VARCHAR,Default,30,Arbitrary limit codes to be checked when the Customer Limits functionality is in operation. There can be 5 limit references for an account LIMITREF1 - 5.,,,
Last Credit Limit Change Date,DATE,Default,,The last time the account’s credit limit was changed,,,
Last Debit Limit Change Date,DATE,Default,,The last time the account’s debit limit was changed,,,
Tax Indicator Credit,VARCHAR,Input,5,Tax code to indicate applicable tax slab. Should be a valid value in TaxRates table.,,,
Tax Indicator Debit,VARCHAR,Default,5,Tax on Debits -- Currently not used,,,
Perouterprofileid,VARCHAR,Default,4,PE Router Profile ID This dictates which posting engine service will process the instance of the account product when a financial posting message is received by the Posting Engine step/fatom.  ‘0000’ or blank indicates any posting messages will be direct,,,
Standing Order,INTEGER,Default,,,,,
Service Fee,INTEGER,Default,,Account Level Service Fee,,,
Taxation,INTEGER,Default,,,,,
Versionnum,INTEGER,Default,,"Used for internal purpose, for optimistic locking.",,,
Account Style,VARCHAR,Default,5,"Account Style. Used for account classification, set this up if this feature is going to be used by the Bank. Entries in CodeTypes need to be done for AccountStyles so this should be taken into consideration while implementing this feature.",Context.defaultAccountStyle,,
Charge Funding AccountId,VARCHAR,Input,20,Charge Funding Account,,,
Temp Account Limit,DECIMAL,Default,,Temporary Account Limit.,,,
Acctranscounter,INTEGER,Default,,Running Transaction number against all transaction for an Account; need to be extracted from legacy if such number is avaiable. Migration of this field would depend on the historical transactions migration strategy.,2,,
BankStatementFeature,VARCHAR,Sequence,30,This is automatically generated when an instance of the account is created,,,
Transactionsperpage,INTEGER,Default,,"Integer value. The number of transactions per printable page for the product. When this is exceeded, and there is a page full condition, a new page number is incremented. This is used when page-full statement feature is used; set in accordingly in consulation with the Bank.",25,,
Currentpage,INTEGER,Default,,The current statement page number. This is updated the Transactions Per Page has been exceeded or when it is about to produce a statement in an update mode. The latter prevents the Posting Engine from using the same page number while the statement proce,2,,
Currentsrnumber,INTEGER,Default,,"The individual number of the transaction within the page, in the sequence it was physically posted to the Transaction table. Reset to 1 when the page is full. I.e. when the Transactions Per Page have been reached.",,,
Pagefull,INTEGER,Default,,"Page Full 0 or 1. 0 -> Page Full statements not used for this account; 1 -> Page full statements used for this account. If this value is set, and the Transactions Per Page is exceeded, then the feature automatically produces a statement file of transactions in a comma separated format during posting.",0,,
