Column_Name,DataType,Input_Method,Y,MaxLength,Description
PartyId,VARCHAR,Input,Y,120,Party Id
PartyType,VARCHAR,Input,Y,,Party type enterprise(1063) or personal(1062)
PartySubType,VARCHAR,Input,Y,,"Party Subtype -Student,staff etc from Generic Code"
PartyCategory,VARCHAR,Input,N,,"Party Category - Full, walkin, agent etc."
PartyName,VARCHAR,Input,Y,255,Name of the party
PartyEquivalentName,VARCHAR,Input,N,255,Party equivalent name
ShortName,VARCHAR,Input,Y,60,Party short name
EquivalentShortName,VARCHAR,Input,N,60,Party equivalent short name
Language,VARCHAR,Default,N,,Language id
PartyAcquisitionDate,TIMESTAMP,Input,N,,"When the customer was created, if not provided date of migration is treated as customer auquisition date"
RelationshipManagerID,VARCHAR,Input,N,30,The ID of the Relationship Manager responsible for this customer.
PartyStatus,VARCHAR,Default,N,,Bank party status
IsMultiHost,VARCHAR,Input,N,1,If party id is global across host systems
AlphaCode,VARCHAR,Input,Y,,"Alpha code for quick seraches, not used for Internal customers, used only in case of Individual and Enterprise customers"
BranchCode,VARCHAR,Input,Y,8,Party associated with branch (Sort code)
KYCStatus,VARCHAR,Default,N,,Party KYC status
KYCExpiryDate,DATE,Default,Y,10,Party KYC expiry date.
KYCCautionaryDate,DATE,Default,N,,Date on which party KYC status marked as cautionary
LastModifiedDate,DATE,Default,N,,Last modified date
CommonSequence,VARCHAR,Sequence,N,20,Surrogate Key
PartyStatusID,VARCHAR,Default,N,,PARTY status
StatusType,VARCHAR,Default,N,,Public Party Status or bank party Status
Country,VARCHAR,Default,N,,Country Code
Region,VARCHAR,Default,N,,Region Code
LocalityType,VARCHAR,Default,N,,"Party Locality types (local public, private, global)"
CountryCode,VARCHAR,Input,N,20,Country Code
RegionCode,VARCHAR,Input,N,50,Region Code
AddressLine1,VARCHAR,Input,N,256,AddressLine1
AddressLine2,VARCHAR,Input,N,256,AddressLine2
AddressLine3,VARCHAR,Input,N,256,AddressLine3
AddressLine4,VARCHAR,Input,N,256,AddressLine4
AddressLine5,VARCHAR,Input,N,256,AddressLine5
AddressLine6,VARCHAR,Input,N,256,AddressLine6
AddressLine7,VARCHAR,Input,N,256,AddressLine7
AddressLine8,VARCHAR,Input,N,256,AddressLine8
AddressLine9,VARCHAR,Input,N,256,AddressLine9
AddressLine10,VARCHAR,Input,N,256,AddressLine10
PostalCode,VARCHAR,Input,Y,20,Postal Code
City,VARCHAR,Input,N,50,City or Town
EntityType,VARCHAR,Default,N,,PARTY / ACCOUNT from generic code.
IsDefaultAddress,VARCHAR,Default,N,,is a default address
AddressType,VARCHAR,Default,N,,"From a configurable list of values such as: owner, renting, lodger, living with partner/parents, leasing."
AddressFromDate,DATE,Input,N,,"If address history is required, this must be a valid date. It can be used to ascertain whether the required address history has been met and prompt for further address history if it has not. Where address history is not required, the from date should aut"
AddressToDate,DATE,Input,N,,"A value of blank (the default) indicates that this is current, else the user must enter a valid date that must be after the From date."
DUNsNumberOfLocation,VARCHAR,Default,N,20,"The DUNS 9 digit number or Data Universal Numbering System is a unique identifier for businesses. DUNS numbers are assigned and maintained by Dun & Bradstreet (D&B) and are used for a variety of purposes, including establishing business credit, applying "
